Code_pop;Population;Biotope;Exposition;Language
QUI;Quito;Altitude;Urban;Spanish
AND;Teligote;Altitude;Rural;Spanish_Quetchua_N
COL;Canto de Colta;Altitude;Rural;Spanish_Quetchua
LEI;Leicester;Plains;Urban;English
DOU;Doumassi;Forest;Rural;Baka
CHA;Chateauville;Forest;Rural;Fang
ESS;Essikok;Forest;Rural;Fang
MEB;Meubeum (Ngone);Forest;Rural;Fang
ESG;Essang;Forest;Rural;Baka
BUK;Bukhara (Buxoro);Steppes;Urban;Uzbek
NUK;Nukus;Steppes;Urban;Karakalpak
XHO;Xhosa Capte Toxn;Plains;Urban;Xhosa
CAP;Cape town 2017;Plains;Urban;Multiple
UWC;Cape town 2015;Plains;Urban;Multiple
